,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,dominant_topic
36,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.02,0.0,0.0,0.31,0.03,0.0,0.18,0.0,0.42,0.0,0.0,0.0,0.0,15
37,0.0,0.0,0.0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.71,0.0,0.0,0.0,16
38,0.0,0.0,0.0,0.0,0.25,0.04,0.0,0.0,0.15,0.04,0.0,0.0,0.0,0.05,0.06,0.0,0.0,0.3,0.11,0.0,17
39,0.0,0.03,0.0,0.0,0.02,0.09,0.12,0.03,0.12,0.02,0.18,0.0,0.0,0.01,0.0,0.26,0.0,0.0,0.12,0.0,15
40,0.0,0.0,0.0,0.06,0.18,0.0,0.0,0.0,0.0,0.05,0.25,0.0,0.02,0.35,0.0,0.08,0.0,0.02,0.0,0.0,13
41,0.0,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.07,0.0,0.54,0.2,0.0,0.07,0.0,0.0,0.0,0.0,12
42,0.0,0.0,0.0,0.0,0.09,0.0,0.0,0.13,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.74,0.0,0.0,0.01,16
43,0.0,0.0,0.0,0.15,0.34,0.0,0.0,0.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7
44,0.0,0.08,0.0,0.0,0.07,0.06,0.0,0.0,0.0,0.22,0.0,0.0,0.46,0.08,0.04,0.0,0.0,0.0,0.0,0.0,12
45,0.0,0.0,0.71,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,2
46,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.49,0.0,0.0,0.0,16
47,0.0,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.83,0.0,0.0,0.0,16
48,0.0,0.0,0.0,0.0,0.27,0.0,0.0,0.05,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0,16
49,0.51,0.01,0.0,0.0,0.17,0.0,0.0,0.15,0.0,0.0,0.0,0.06,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0
50,0.0,0.0,0.0,0.0,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.0,0.0,0.0,0.65,0.0,0.0,0.0,16
51,0.0,0.0,0.01,0.0,0.08,0.0,0.0,0.0,0.0,0.0,0.02,0.03,0.02,0.0,0.0,0.72,0.12,0.0,0.0,0.0,15
52,0.0,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.12,0.0,0.0,0.52,0.0,0.0,0.0,0.0,15
53,0.0,0.32,0.0,0.0,0.35,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,4
54,0.0,0.0,0.0,0.19,0.33,0.11,0.02,0.31,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4
55,0.0,0.0,0.0,0.62,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3
56,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.02,0.0,0.03,0.37,0.0,0.38,0.0,0.0,0.08,0.0,0.0,0.0,0.0,12
57,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49,0.0,0.0,0.0,16
58,0.0,0.0,0.01,0.0,0.09,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.67,0.0,0.0,0.02,16
59,0.0,0.3,0.02,0.0,0.16,0.0,0.0,0.0,0.0,0.04,0.01,0.0,0.0,0.0,0.41,0.0,0.0,0.05,0.0,0.0,14
60,0.0,0.0,0.0,0.0,0.05,0.36,0.02,0.0,0.0,0.0,0.02,0.0,0.0,0.14,0.0,0.0,0.4,0.01,0.0,0.0,16
